,application_number,sponsor_name,app_numb_openfda,brand_name,generic_name,manufacturer_name,product_ndc,product_type,rxcui,spl_id,spl_set_id,package_ndc,submission_type,submission_status_date,product_number,reference_drug,active_ingredients,marketing_status,reference_standard,dosage_form
305,NDA019711,B BRAUN,,,,,,,,,,,['ORIG'],['19890929'],['001'],['No'],"[[{'name': 'MAGNESIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '37MG/100ML'}, {'name': 'SODIUM ACETATE', 'strength': '370MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '530MG/100ML'}, {'name': 'SODIUM GLUCONATE', 'strength': '500MG/100ML'}]]",['Prescription'],['No'],['INJECTABLE']
306,NDA019715,MYLAN SPECIALITY LP,['NDA019715'],['DIPENTUM'],['OLSALAZINE SODIUM'],['Meda Pharmaceuticals'],['0037-6860'],['HUMAN PRESCRIPTION DRUG'],"['905162', '905164']",['e9f0dc63-5c20-4930-8660-4ee953267058'],['8512d0c6-db4e-4673-b3b4-28975c18413f'],['0037-6860-10'],['ORIG'],['19900731'],['001'],['Yes'],"[[{'name': 'OLSALAZINE SODIUM', 'strength': '250MG'}]]",['Prescription'],['Yes'],['CAPSULE']
307,NDA019732,ABBVIE ENDOCRINE INC,,,,,,,,,,,['ORIG'],['19890126'],['001'],['Yes'],"[[{'name': 'LEUPROLIDE ACETATE', 'strength': '7.5MG/VIAL'}]]",['Prescription'],['Yes'],['INJECTABLE']
308,NDA019779,NOVARTIS,['NDA019779'],['IOPIDINE'],['APRACLONIDINE HYDROCHLORIDE'],"['Alcon Laboratories, Inc.']",['0065-0660'],['HUMAN PRESCRIPTION DRUG'],"['211020', '308346']",['be5646ce-338c-4994-9cf5-5d25761b8d4e'],['2a6c44a6-e415-467f-bf3b-3e7f2c7dc714'],['0065-0660-10'],['ORIG'],['19871231'],['001'],['Yes'],"[[{'name': 'APRACLONIDINE HYDROCHLORIDE', 'strength': 'EQ 1% BASE'}]]",['Prescription'],['Yes'],['SOLUTION/DROPS']
309,NDA019790,AUXILIUM PHARMS LLC,['NDA019790'],['DILATRATE SR'],['ISOSORBIDE DINITRATE'],['Endo Pharmaceuticals Inc.'],['52244-920'],['HUMAN PRESCRIPTION DRUG'],"['314040', '891870']",['819065d0-0b11-46d4-89f3-578936e32978'],['7ec5ba03-6164-4199-a333-7cd8d7c75e17'],['52244-920-10'],['ORIG'],['19880902'],['001'],['Yes'],"[[{'name': 'ISOSORBIDE DINITRATE', 'strength': '40MG'}]]",['Discontinued'],['No'],"['CAPSULE, EXTENDED RELEASE']"
310,NDA019806,AUXILIUM PHARMS LLC,,,,,,,,,,,['ORIG'],['19940325'],['001'],['Yes'],"[[{'name': 'ACRIVASTINE', 'strength': '8MG'}, {'name': 'PSEUDOEPHEDRINE HYDROCHLORIDE', 'strength': '60MG'}]]",['Discontinued'],['No'],['CAPSULE']
311,NDA019813,JANSSEN PHARMS,,,,,,,,,,,['ORIG'],['19900807'],"['001', '006', '004', '002', '005', '003']","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","[[{'name': 'FENTANYL', 'strength': '100MCG/HR'}], [{'name': 'FENTANYL', 'strength': '37.5MCG/HR'}], [{'name': 'FENTANYL', 'strength': '25MCG/HR'}], [{'name': 'FENTANYL', 'strength': '75MCG/HR'}], [{'name': 'FENTANYL', 'strength': '12.5MCG/HR'}], [{'name': 'FENTANYL', 'strength': '50MCG/HR'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'Yes', 'No', 'No', 'No']","['FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE']"
312,NDA019826,B BRAUN,,,,,,,,,,,['ORIG'],['19920814'],"['005', '003', '001', '006', '004', '002']","['No', 'Yes', 'Yes', 'Yes', 'No', 'Yes']","[[{'name': 'THEOPHYLLINE', 'strength': '400MG/100ML'}], [{'name': 'THEOPHYLLINE', 'strength': '160MG/100ML'}], [{'name': 'THEOPHYLLINE', 'strength': '40MG/100ML'}], [{'name': 'THEOPHYLLINE', 'strength': '320MG/100ML'}], [{'name': 'THEOPHYLLINE', 'strength': '200MG/100ML'}], [{'name': 'THEOPHYLLINE', 'strength': '80MG/100ML'}]]","['Discontinued', 'Prescription', 'Prescription', 'Prescription', 'Discontinued', 'Prescription']","['No', 'Yes', 'Yes', 'Yes', 'No', 'Yes']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
313,NDA019829,GE HEALTHCARE,,,,,,,,,,,['ORIG'],['19881230'],['001'],['Yes'],"[[{'name': 'TECHNETIUM TC-99M EXAMETAZIME KIT', 'strength': 'N/A'}]]",['Prescription'],['Yes'],['INJECTABLE']
314,NDA019841,CURIUM,,,,,,,,,,,['ORIG'],['19940927'],['001'],['Yes'],"[[{'name': 'INDIUM IN-111 CHLORIDE', 'strength': '5mCi/0.5ML'}]]",['Prescription'],['Yes'],['INJECTABLE']
315,NDA019844,B BRAUN,,,,,,,,,,,['ORIG'],['19930610'],['001'],['No'],"[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '97MG/100ML'}, {'name': 'SODIUM ACETATE', 'strength': '220MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '140MG/100ML'}]]",['Discontinued'],['No'],['INJECTABLE']
316,NDA019845,NOVARTIS,['NDA019845'],['BETOPTIC S'],['BETAXOLOL HYDROCHLORIDE'],"['Alcon Laboratories, Inc.']",['0065-0246'],['HUMAN PRESCRIPTION DRUG'],"['213729', '308719']",['bcb829bc-6622-41e8-a56c-87170e90c794'],['71659a34-efad-4147-81c7-da10985e9224'],"['0065-0246-10', '0065-0246-15']",['ORIG'],['19891229'],['001'],['Yes'],"[[{'name': 'BETAXOLOL HYDROCHLORIDE', 'strength': 'EQ 0.25% BASE'}]]",['Prescription'],['Yes'],['SUSPENSION/DROPS']
317,NDA019853,VALEANT PHARMS INTL,,,,,,,,,,,['ORIG'],['19701204'],"['002', '001']","['No', 'Yes']","[[{'name': 'PENICILLAMINE', 'strength': '125MG'}], [{'name': 'PENICILLAMINE', 'strength': '250MG'}]]","['Discontinued', 'Prescription']","['No', 'Yes']","['CAPSULE', 'CAPSULE']"
318,NDA019854,MYLAN SPECIALITY LP,['NDA019854'],['DEPEN'],['PENICILLAMINE'],['Meda Pharmaceuticals'],['0037-4401'],['HUMAN PRESCRIPTION DRUG'],"['198071', '207370']",['7e6bc201-d33d-45f0-9a6e-fdb5fc0995be'],['38f8ae60-b354-11de-8a39-0800200c9a66'],['0037-4401-01'],['ORIG'],['19781108'],['001'],['Yes'],"[[{'name': 'PENICILLAMINE', 'strength': '250MG'}]]",['Prescription'],['Yes'],['TABLET']
319,NDA019862,GE HEALTHCARE,,,,,,,,,,,['ORIG'],['19921229'],['001'],['Yes'],"[[{'name': 'INDIUM IN-111 CHLORIDE', 'strength': '2mCi/0.2ML'}]]",['Discontinued'],['No'],['INJECTABLE']
320,NDA019870,B BRAUN,,,,,,,,,,,['ORIG'],['19930610'],['001'],['No'],"[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '150MG/100ML'}, {'name': 'POTASSIUM PHOSPHATE, DIBASIC', 'strength': '130MG/100ML'}, {'name': 'SODIUM ACETATE', 'strength': '280MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '91MG/100ML'}]]",['Discontinued'],['No'],['INJECTABLE']
321,NDA019873,B BRAUN,,,,,,,,,,,['ORIG'],['19930610'],['001'],['No'],"[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '31MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '130MG/100ML'}, {'name': 'POTASSIUM PHOSPHATE, DIBASIC', 'strength': '26MG/100ML'}, {'name': 'SODIUM ACETATE', 'strength': '320MG/100ML'}]]",['Prescription'],['No'],['INJECTABLE']
322,NDA019882,CURIUM,,,,,,,,,,,['ORIG'],['19900615'],['001'],['Yes'],"[[{'name': 'TECHNETIUM TC-99M MERTIATIDE KIT', 'strength': 'N/A'}]]",['Prescription'],['Yes'],['INJECTABLE']
323,NDA019886,PFIZER,,,,,,,,,,,['ORIG'],['19900213'],['001'],['Yes'],"[[{'name': 'NAFARELIN ACETATE', 'strength': 'EQ 0.2MG BASE/SPRAY'}]]",['Prescription'],['Yes'],"['SPRAY, METERED']"
324,NDA019887,FRESENIUS KABI USA,,,,,,,,,,,['ORIG'],['19890615'],"['002', '001']","['No', 'Yes']","[[{'name': 'PENTAMIDINE ISETHIONATE', 'strength': '600MG/VIAL'}], [{'name': 'PENTAMIDINE ISETHIONATE', 'strength': '300MG/VIAL'}]]","['Discontinued', 'Prescription']","['No', 'Yes']","['FOR SOLUTION', 'FOR SOLUTION']"
325,NDA019904,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19891226'],"['006', '004', '002', '005', '003', '001']","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","[[{'name': 'POTASSIUM CHLORIDE', 'strength': '1.49GM/100ML'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '2.98GM/100ML'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '29.8MG/ML'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '746MG/100ML'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '2.24GM/100ML'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '14.9MG/ML'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
326,NDA019916,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19921030'],"['002', '001']","['Yes', 'Yes']","[[{'name': 'MORPHINE SULFATE', 'strength': '5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'MORPHINE SULFATE', 'strength': '1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}]]","['Discontinued', 'Discontinued']","['No', 'No']","['INJECTABLE', 'INJECTABLE']"
327,NDA019926,EISAI INC,,,,,,,,,,,['ORIG'],['19901226'],['001'],['Yes'],"[[{'name': 'ALTRETAMINE', 'strength': '50MG'}]]",['Discontinued'],['No'],['CAPSULE']
328,NDA019942,FRESENIUS,,,,,,,,,,,['ORIG'],['19931230'],['001'],['Yes'],"[[{'name': 'SOYBEAN OIL', 'strength': '30%'}]]",['Prescription'],['Yes'],['INJECTABLE']
329,NDA019981,CURIUM,,,,,,,,,,,['ORIG'],['19910610'],['001'],['Yes'],"[[{'name': 'TECHNETIUM TC-99M RED BLOOD CELL KIT', 'strength': 'N/A'}]]",['Prescription'],['Yes'],['INJECTABLE']
330,NDA019998,RECORDATI RARE,,,,,,,,,,,['ORIG'],['19910130'],['002'],['Yes'],"[[{'name': 'SUCCIMER', 'strength': '100MG'}]]",['Prescription'],['Yes'],['CAPSULE']
331,NDA019999,MERIDIAN MEDCL TECHN,,,,,,,,,,,['ORIG'],['19900712'],['001'],['Yes'],"[[{'name': 'MORPHINE SULFATE', 'strength': '10MG/0.7ML (10MG/0.7ML)'}]]",['Discontinued'],['No'],['SOLUTION']
332,NDA020000,B BRAUN,,,,,,,,,,,['ORIG'],['19920417'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '33MG/100ML'}, {'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '860MG/100ML'}]]",['Discontinued'],['No'],['INJECTABLE']
333,NDA020001,GALDERMA LABS LP,,,,,,,,,,,['ORIG'],['19900827'],['001'],['Yes'],"[[{'name': 'FLUOCINOLONE ACETONIDE', 'strength': '0.01%'}]]",['Prescription'],['Yes'],['SHAMPOO']
334,NDA020002,B BRAUN,['NDA020002'],['RINGERS'],"['SODIUM CHLORIDE, CALCIUM CHLORIDE, AND POTASSIUM CHLORIDE']",['B. Braun Medical Inc.'],['0264-7780'],['HUMAN PRESCRIPTION DRUG'],['847617'],['9f34e834-06d3-4025-890b-9cc245baea8b'],['01721071-af03-4894-95c1-10b8bc64b888'],['0264-7780-00'],['ORIG'],['19920417'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '33MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '860MG/100ML'}]]",['Prescription'],['No'],['INJECTABLE']
335,NDA020011,ABBVIE ENDOCRINE INC,,,,,,,,,,,['ORIG'],['19901022'],"['001', '002']","['Yes', 'Yes']","[[{'name': 'LEUPROLIDE ACETATE', 'strength': '3.75MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'LEUPROLIDE ACETATE', 'strength': '3.75MG'}]]","['Discontinued', 'Prescription']","['No', 'Yes']","['INJECTABLE', 'INJECTABLE']"
336,NDA020015,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19911219'],['001'],['No'],"[[{'name': 'AMINO ACIDS', 'strength': '10% (10GM/100ML)'}]]",['Prescription'],['No'],['INJECTABLE']
337,NDA020041,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19911219'],['001'],['No'],"[[{'name': 'AMINO ACIDS', 'strength': '15% (15GM/100ML)'}]]",['Prescription'],['No'],['INJECTABLE']
338,NDA020045,BAYER HEALTHCARE LLC,,,,,,,,,,,['ORIG'],['19921207'],['001'],['Yes'],"[[{'name': 'AVOBENZONE', 'strength': '3%'}, {'name': 'OCTINOXATE', 'strength': '7.5%'}, {'name': 'OXYBENZONE', 'strength': '3%'}]]",['Discontinued'],['No'],['LOTION']
339,NDA020049,TAKEDA PHARMS USA,['NDA020049'],['PENTASA'],['MESALAMINE'],"['Takeda Pharmaceuticals America, Inc.']","['54092-189', '54092-191']",['HUMAN PRESCRIPTION DRUG'],"['206791', '314092', '476362', '580286']",['b6ccfa38-8181-4e67-ac98-fcac8fa6e0db'],['e39d9a3d-5d3a-4bb6-aab1-fdbb2a598606'],"['54092-189-81', '54092-191-08', '54092-191-12']",['ORIG'],['19930510'],"['001', '002']","['Yes', 'Yes']","[[{'name': 'MESALAMINE', 'strength': '250MG'}], [{'name': 'MESALAMINE', 'strength': '500MG'}]]","['Prescription', 'Prescription']","['No', 'Yes']","['CAPSULE, EXTENDED RELEASE', 'CAPSULE, EXTENDED RELEASE']"
340,NDA020079,AKORN,,,,,,,,,,,['ORIG'],['19911127'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '0.154MG/ML'}, {'name': 'DEXTROSE', 'strength': '0.92MG/ML'}, {'name': 'GLUTATHIONE DISULFIDE', 'strength': '0.184MG/ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '0.2MG/ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '0.38MG/ML'}, {'name': 'SODIUM BICARBONATE', 'strength': '2.1MG/ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '7.14MG/ML'}, {'name': 'SODIUM PHOSPHATE', 'strength': '0.42MG/ML'}]]",['Discontinued'],['No'],['SOLUTION']
341,NDA020098,ABBVIE,,,,,,,,,,,['ORIG'],['19920122'],"['005', '003', '001', '004', '002']","['Yes', 'No', 'Yes', 'Yes', 'No']","[[{'name': 'MIVACURIUM CHLORIDE', 'strength': 'EQ 20MG BASE/10ML (EQ 2MG BASE/ML)'}], [{'name': 'MIVACURIUM CHLORIDE', 'strength': 'EQ 50MG BASE/100ML'}], [{'name': 'MIVACURIUM CHLORIDE', 'strength': 'EQ 2MG BASE/ML (EQ 2MG BASE/ML)  **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'MIVACURIUM CHLORIDE', 'strength': 'EQ 10MG BASE/5ML (EQ 2MG BASE/ML)'}], [{'name': 'MIVACURIUM CHLORIDE', 'strength': 'EQ 0.5MG BASE/ML'}]]","['Discontinued', 'Discontinued', 'Discontinued', 'Discontinued', 'Discontinued']","['No', 'No', 'No', 'No', 'No']","['SOLUTION', 'INJECTABLE', 'SOLUTION', 'SOLUTION', 'INJECTABLE']"
342,NDA020118,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19920918'],['001'],['Yes'],"[[{'name': 'DESFLURANE', 'strength': '100%'}]]",['Prescription'],['Yes'],['LIQUID']
343,NDA020119,HQ SPECLT PHARMA,['NDA020119'],['TENIPOSIDE'],['TENIPOSIDE'],"['WG Critical Care, LLC']",['44567-507'],['HUMAN PRESCRIPTION DRUG'],['313213'],['66e065ad-bd6c-4f67-a322-6a548cf11f5e'],['f19cf6d7-a1c8-42ec-844c-c798512139d9'],['44567-507-01'],['ORIG'],['19920714'],['001'],['Yes'],"[[{'name': 'TENIPOSIDE', 'strength': '10MG/ML'}]]",['Discontinued'],['No'],['INJECTABLE']
344,NDA020123,GE HEALTHCARE,,,,,,,,,,,['ORIG'],['19930108'],['001'],['Yes'],"[[{'name': 'GADODIAMIDE', 'strength': '287MG/ML'}]]",['Prescription'],['Yes'],['INJECTABLE']
345,NDA020126,MYLAN,['NDA020126'],"['PRUDOXIN', 'DOXEPIN HYDROCHLORIDE', 'ZONALON']",['DOXEPIN HYDROCHLORIDE'],['Mylan Pharmaceuticals Inc.'],"['0378-8130', '0378-8117', '0378-8123']",['HUMAN PRESCRIPTION DRUG'],"['1000091', '1000093', '1000095']","['dc5b7069-dc63-4393-bd87-2828328103b0', 'b4771ea7-c19b-4182-bb23-c1473ab583fa', 'd08db934-a9ce-4b1a-9ca1-5c6705b227a1']","['ca53346b-8ab3-4722-98f6-cf272706d3fa', 'b4771ea7-c19b-4182-bb23-c1473ab583fa', '5f302247-525e-4acc-852b-00eb1d79af4b']","['0378-8130-45', '0378-8117-45', '0378-8123-30', '0378-8123-45']",['ORIG'],['19940401'],['001'],['Yes'],"[[{'name': 'DOXEPIN HYDROCHLORIDE', 'strength': '5%'}]]",['Prescription'],['Yes'],['CREAM']
346,NDA020131,BRACCO,,,,,,,,,,,['ORIG'],['19921116'],['001'],['Yes'],"[[{'name': 'GADOTERIDOL', 'strength': '279.3MG/ML'}]]",['Prescription'],['Yes'],['INJECTABLE']
347,NDA020145,USPHARMA,,,,,,,,,,,['ORIG'],['19851210'],"['005', '003', '001', '006', '004', '002']","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","[[{'name': 'NITROGLYCERIN', 'strength': '0.6MG/HR'}], [{'name': 'NITROGLYCERIN', 'strength': '0.3MG/HR'}], [{'name': 'NITROGLYCERIN', 'strength': '0.1MG/HR'}], [{'name': 'NITROGLYCERIN', 'strength': '0.8MG/HR'}], [{'name': 'NITROGLYCERIN', 'strength': '0.4MG/HR'}], [{'name': 'NITROGLYCERIN', 'strength': '0.2MG/HR'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE', 'FILM, EXTENDED RELEASE']"
348,NDA020148,BAUSCH,,,,,,,,,,,['ORIG'],['19971208'],['001'],['Yes'],"[[{'name': 'DIHYDROERGOTAMINE MESYLATE', 'strength': '0.5MG/SPRAY'}]]",['Prescription'],['Yes'],"['SPRAY, METERED']"
349,NDA020163,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19921204'],"['003', '001', '002']","['Yes', 'Yes', 'Yes']","[[{'name': 'CALCIUM CHLORIDE', 'strength': '25.7MG/100ML'}, {'name': 'DEXTROSE', 'strength': '4.25GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '25.7MG/100ML'}, {'name': 'DEXTROSE', 'strength': '1.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '25.7MG/100ML'}, {'name': 'DEXTROSE', 'strength': '2.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}]]","['Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No']","['SOLUTION', 'SOLUTION', 'SOLUTION']"
350,NDA020171,FRESENIUS MEDCL,,,,,,,,,,,['ORIG'],['19920819'],"['003', '001', '002']","['Yes', 'Yes', 'Yes']","[[{'name': 'CALCIUM CHLORIDE', 'strength': '18.4MG/100ML'}, {'name': 'DEXTROSE', 'strength': '4.25GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '18.4MG/100ML'}, {'name': 'DEXTROSE', 'strength': '1.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '18.4MG/100ML'}, {'name': 'DEXTROSE', 'strength': '2.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}]]","['Prescription', 'Prescription', 'Prescription']","['Yes', 'Yes', 'Yes']","['SOLUTION', 'SOLUTION', 'SOLUTION']"
351,NDA020183,BAXTER HLTHCARE,['NDA020183'],['DIANEAL LOW CALCIUM WITH DEXTROSE'],"['SODIUM CHLORIDE, SODIUM LACTATE, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE AND DEXTROSE']",['Baxter Healthcare Corporation'],"['0941-0424', '0941-0411', '0941-0413', '0941-0415', '0941-0409', '0941-0457', '0941-0459', '0941-0426', '0941-0427', '0941-0429', '0941-0430', '0941-0433', '0941-0484', '0941-0487', '0941-0490']",['HUMAN PRESCRIPTION DRUG'],"['799999', '800003', '800057', '800061', '800062', '800064', '800066', '800074', '800111', '800115', '800472', '800474']",['9f440ab6-bb06-4a1c-87e1-0fea2f70faf0'],['aa268d3f-7389-4f25-801f-5d4825495f08'],"['0941-0411-05', '0941-0411-06', '0941-0411-07', '0941-0411-04', '0941-0411-11', '0941-0413-05', '0941-0413-06', '0941-0413-07', '0941-0413-01', '0941-0413-04', '0941-0415-05', '0941-0415-06', '0941-0415-04', '0941-0415-07', '0941-0415-01', '0941-0409-06', '0941-0409-05', '0941-0409-07', '0941-0409-01', '0941-0457-08', '0941-0457-02', '0941-0457-05', '0941-0457-01', '0941-0459-08', '0941-0459-02', '0941-0459-05', '0941-0459-01', '0941-0426-52', '0941-0426-53', '0941-0426-55', '0941-0427-52', '0941-0427-53', '0941-0427-55', '0941-0429-52', '0941-0429-53', '0941-0429-55', '0941-0424-51', '0941-0424-52', '0941-0424-53', '0941-0424-55', '0941-0430-51', '0941-0430-52', '0941-0430-53', '0941-0430-55', '0941-0433-51', '0941-0433-52', '0941-0433-53', '0941-0433-55', '0941-0484-01', '0941-0487-01', '0941-0490-01']",['ORIG'],['19921204'],"['004', '002', '003', '001']","['Yes', 'Yes', 'Yes', 'Yes']","[[{'name': 'CALCIUM CHLORIDE', 'strength': '18.3MG/100ML'}, {'name': 'DEXTROSE', 'strength': '4.25GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '18.3MG/100ML'}, {'name': 'DEXTROSE', 'strength': '2.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '18.3MG/100ML'}, {'name': 'DEXTROSE', 'strength': '3.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}], [{'name': 'CALCIUM CHLORIDE', 'strength': '18.3MG/100ML'}, {'name': 'DEXTROSE', 'strength': '1.5GM/100ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '5.08MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '538MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '448MG/100ML'}]]","['Prescription', 'Prescription', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No']","['SOLUTION', 'SOLUTION', 'SOLUTION', 'SOLUTION']"
352,NDA020191,NOVARTIS,['NDA020191'],['ALOMIDE'],['LODOXAMIDE TROMETHAMINE'],"['Alcon Laboratories, Inc.']",['0065-0345'],['HUMAN PRESCRIPTION DRUG'],"['206792', '311361']",['3ff679e2-2dfb-404c-8727-c17d2acd9b0d'],['1b97597f-f2e7-4574-81a8-f35b769c957a'],['0065-0345-10'],['ORIG'],['19930923'],['001'],['Yes'],"[[{'name': 'LODOXAMIDE TROMETHAMINE', 'strength': 'EQ 0.1% BASE'}]]",['Prescription'],['Yes'],['SOLUTION/DROPS']
353,NDA020193,JANSSEN PHARMS,,,,,,,,,,,['ORIG'],['19960926'],['001'],['Yes'],"[[{'name': 'PENTOSAN POLYSULFATE SODIUM', 'strength': '100MG'}]]",['Prescription'],['Yes'],['CAPSULE']
354,NDA020209,ANI PHARMS,,,,,,,,,,,['ORIG'],['19920930'],['001'],['Yes'],"[[{'name': 'OXICONAZOLE NITRATE', 'strength': 'EQ 1% BASE'}]]",['Prescription'],['Yes'],['LOTION']
355,NDA020213,BAUSCH AND LOMB,,,,,,,,,,,['ORIG'],['19930922'],['001'],['Yes'],"[[{'name': 'ACETYLCHOLINE CHLORIDE', 'strength': '20MG/VIAL'}]]",['Prescription'],['Yes'],['FOR SOLUTION']
356,NDA020216,WYETH PHARMS,,,,,,,,,,,['ORIG'],['19781016'],['001'],['Yes'],"[[{'name': 'ESTROGENS, CONJUGATED', 'strength': '0.625MG/GM'}]]",['Prescription'],['Yes'],['CREAM']
